City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mahebourg,40.0,MU,1547312400.0,74.0,-20.41,57.7,82.4,11.41
caravelas,0.0,BR,1547314170.0,100.0,-17.73,-39.27,80.94,11.1
ushuaia,75.0,AR,1547312400.0,87.0,-54.81,-68.31,44.6,34.45
kapaa,1.0,US,1547312160.0,87.0,22.08,-159.32,66.92,9.17
dikson,48.0,RU,1547314026.0,100.0,73.51,80.55,-17.03,31.79
pevek,0.0,RU,1547313277.0,58.0,69.7,170.27,-19.73,6.4
chuy,76.0,UY,1547313065.0,87.0,-33.69,-53.46,75.0,13.67
huarmey,12.0,PE,1547314171.0,49.0,-10.07,-78.15,80.85,5.95
bluff,0.0,AU,1547314171.0,84.0,-23.58,149.07,69.15,7.18
flinders,24.0,AU,1547314172.0,83.0,-34.58,150.85,69.29,7.74
mataura,100.0,NZ,1547313292.0,89.0,-46.19,168.86,44.22,3.15
butaritari,68.0,KI,1547314172.0,100.0,3.07,172.79,82.88,10.98
jamestown,0.0,AU,1547314172.0,41.0,-33.21,138.6,64.74,9.98
rikitea,88.0,PF,1547314173.0,99.0,-23.12,-134.97,79.14,14.56
antalaha,8.0,MG,1547314173.0,95.0,-14.9,50.28,78.24,3.27
muros,40.0,ES,1547312400.0,75.0,42.77,-9.06,51.8,9.17
hilo,90.0,US,1547311980.0,90.0,19.71,-155.08,66.92,12.44
cherskiy,56.0,RU,1547314174.0,51.0,68.75,161.3,-17.3,1.92
kaitangata,68.0,NZ,1547314174.0,84.0,-46.28,169.85,48.23,3.83
saint-philippe,1.0,CA,1547312400.0,60.0,45.36,-73.48,10.4,11.41
avarua,75.0,CK,1547312400.0,94.0,-21.21,-159.78,77.0,2.24
pangai,32.0,TO,1547314175.0,100.0,-19.8,-174.35,79.73,17.02
upernavik,32.0,GL,1547314175.0,100.0,72.79,-56.15,-5.6,14.23
albany,20.0,US,1547312280.0,34.0,42.65,-73.75,23.0,9.17
hami,44.0,CN,1547313987.0,57.0,42.84,93.51,4.89,1.59
barrow,24.0,AR,1547314176.0,68.0,-38.31,-60.23,83.64,13.56
ust-tsilma,88.0,RU,1547314176.0,71.0,65.44,52.15,17.63,9.08
smithers,90.0,CA,1547313600.0,100.0,54.78,-127.17,33.8,2.04
posse,36.0,BR,1547314176.0,64.0,-14.08,-46.36,86.25,2.15
vaini,0.0,IN,1547314177.0,87.0,15.34,74.49,62.72,2.15
guerrero negro,48.0,MX,1547314177.0,90.0,27.97,-114.04,58.62,3.94
belaya gora,44.0,RU,1547314177.0,0.0,68.54,146.19,-42.99,2.93
south lake tahoe,1.0,US,1547312100.0,84.0,38.93,-119.98,32.0,3.27
georgetown,75.0,GY,1547312400.0,66.0,6.8,-58.16,84.2,13.87
kruisfontein,0.0,ZA,1547314178.0,82.0,-34.0,24.73,65.6,11.43
kungalv,90.0,SE,1547311800.0,100.0,57.87,11.98,33.8,3.38
tasiilaq,75.0,GL,1547311800.0,67.0,65.61,-37.64,17.6,12.75
embu,0.0,KE,1547314179.0,71.0,-0.54,37.46,58.89,4.61
inta,80.0,RU,1547314179.0,77.0,66.04,60.13,17.31,6.62
kurmanayevka,92.0,RU,1547314179.0,98.0,52.51,52.07,36.57,20.38
punta arenas,40.0,CL,1547312400.0,53.0,-53.16,-70.91,51.8,34.45
cidreira,80.0,BR,1547314180.0,89.0,-30.17,-50.22,77.75,14.79
saskylakh,0.0,RU,1547314180.0,0.0,71.97,114.09,-53.16,4.72
nadym,76.0,RU,1547314181.0,64.0,65.53,72.51,-3.66,16.8
victoria,75.0,BN,1547312400.0,88.0,5.28,115.24,82.4,3.36
rakaia,8.0,NZ,1547312400.0,93.0,-43.76,172.02,55.4,8.05
carnarvon,0.0,ZA,1547314181.0,35.0,-30.97,22.13,72.08,10.87
muzhi,76.0,RU,1547314182.0,78.0,65.4,64.7,6.83,15.46
hobart,20.0,AU,1547312400.0,81.0,-42.88,147.33,50.0,9.17
le port,0.0,FR,1547308800.0,45.0,42.87,1.37,46.4,8.05
hambantota,92.0,LK,1547314183.0,100.0,6.12,81.12,78.02,13.22
atuona,92.0,PF,1547314183.0,100.0,-9.8,-139.03,79.86,16.24
bathsheba,40.0,BB,1547312400.0,61.0,13.22,-59.52,82.4,17.22
torbay,75.0,CA,1547312400.0,93.0,47.66,-52.73,33.8,20.8
binzhou,0.0,CN,1547314184.0,59.0,37.38,117.96,17.76,2.71
tuktoyaktuk,90.0,CA,1547312400.0,83.0,69.44,-133.03,-13.01,6.93
severo-kurilsk,80.0,RU,1547314185.0,99.0,50.68,156.12,32.07,17.47
cape town,75.0,ZA,1547312400.0,60.0,-33.93,18.42,68.0,17.22
clyde river,20.0,CA,1547312400.0,73.0,70.47,-68.59,-29.21,6.93
douglas,1.0,US,1547312160.0,76.0,31.34,-109.55,42.98,4.16
selma,75.0,US,1547312700.0,100.0,36.57,-119.61,53.06,2.71
kodiak,90.0,US,1547313180.0,95.0,39.95,-94.76,32.0,14.99
mar del plata,0.0,AR,1547314187.0,31.0,-46.43,-67.52,68.7,13.78
provideniya,0.0,RU,1547314187.0,100.0,64.42,-173.23,-11.45,15.57
bom jesus,48.0,BR,1547314187.0,42.0,-9.08,-44.36,93.05,9.53
westport,75.0,IE,1547312400.0,93.0,53.8,-9.52,48.2,17.22
imbituba,40.0,BR,1547312400.0,66.0,-28.24,-48.67,86.0,11.41
makakilo city,1.0,US,1547312220.0,89.0,21.35,-158.09,69.08,4.7
malinyi,80.0,TZ,1547314189.0,90.0,-8.94,36.14,75.23,2.71
destin,90.0,US,1547313300.0,80.0,30.39,-86.5,62.96,6.93
cayenne,20.0,GF,1547312400.0,62.0,4.94,-52.33,86.0,13.87
cap malheureux,40.0,MU,1547312400.0,74.0,-19.98,57.61,82.4,11.41
vila velha,40.0,BR,1547312400.0,74.0,-3.71,-38.6,84.2,5.82
norman wells,75.0,CA,1547312400.0,65.0,65.28,-126.83,-34.61,3.38
talnakh,0.0,RU,1547314190.0,0.0,69.49,88.39,-43.76,7.29
hasaki,90.0,JP,1547312400.0,100.0,35.73,140.83,39.2,8.05
karasburg,0.0,NA,1547314190.0,26.0,-28.01,18.75,78.2,13.0
hithadhoo,12.0,MV,1547314191.0,100.0,-0.6,73.08,82.02,2.59
plouzane,90.0,FR,1547312400.0,93.0,48.38,-4.62,50.0,12.75
cabo san lucas,5.0,MX,1547311320.0,64.0,22.89,-109.91,71.6,4.7
naze,12.0,NG,1547312400.0,44.0,5.43,7.07,93.2,4.72
saldanha,0.0,PT,1547314191.0,92.0,41.42,-6.55,35.63,4.61
castro,40.0,CL,1547312400.0,77.0,-42.48,-73.76,59.0,8.05
qaanaaq,0.0,GL,1547314192.0,67.0,77.48,-69.36,-23.15,6.96
boyolangu,76.0,ID,1547314192.0,99.0,-8.09,111.9,71.54,2.59
busselton,0.0,AU,1547314193.0,100.0,-33.64,115.35,64.47,18.48
drayton valley,0.0,CA,1547314193.0,51.0,53.22,-114.98,16.64,2.71
pringsewu,24.0,ID,1547314193.0,94.0,-5.36,104.98,73.97,1.59
excelsior springs,90.0,US,1547313840.0,100.0,39.34,-94.23,32.0,8.05
ballina,75.0,IE,1547312400.0,93.0,54.11,-9.15,50.0,17.22
nicoya,0.0,CR,1547312400.0,43.0,10.15,-85.45,87.8,10.29
portland,20.0,US,1547311980.0,82.0,45.52,-122.67,44.96,4.7
batagay,32.0,RU,1547314194.0,0.0,67.65,134.64,-46.28,2.82
new norfolk,20.0,AU,1547312400.0,81.0,-42.78,147.06,50.0,9.17
leshukonskoye,88.0,RU,1547314195.0,71.0,64.9,45.76,20.46,9.53
hermanus,0.0,ZA,1547314195.0,50.0,-34.42,19.24,64.02,10.2
thompson,75.0,CA,1547312400.0,77.0,55.74,-97.86,5.0,9.17
shache,44.0,CN,1547314196.0,66.0,38.42,77.24,13.89,3.94
nizhnyaya tavda,88.0,RU,1547314196.0,83.0,57.67,66.17,7.77,19.04
gidole,0.0,ET,1547314196.0,16.0,5.65,37.37,73.88,6.51
chokurdakh,80.0,RU,1547314196.0,34.0,70.62,147.9,-22.7,5.73
tororo,0.0,UG,1547314197.0,73.0,0.69,34.18,67.49,6.17
arman,32.0,RU,1547314197.0,65.0,59.7,150.17,-4.79,5.73
hue,40.0,VN,1547312400.0,100.0,16.47,107.58,69.8,3.36
wadi maliz,40.0,TN,1547308800.0,75.0,36.47,8.55,48.2,9.17
okha,0.0,RU,1547313972.0,80.0,53.59,142.95,4.35,13.67
el fuerte,0.0,MX,1547314198.0,55.0,26.42,-108.62,72.75,2.71
port alfred,0.0,ZA,1547314198.0,82.0,-33.59,26.89,69.96,4.38
narsaq,75.0,GL,1547311800.0,69.0,60.91,-46.05,33.8,3.36
uyuni,24.0,BO,1547314199.0,51.0,-20.46,-66.82,60.6,5.95
waingapu,12.0,ID,1547314199.0,99.0,-9.65,120.26,73.79,2.93
sao joao da barra,20.0,BR,1547312400.0,49.0,-21.64,-41.05,89.6,13.87
baykit,20.0,RU,1547314200.0,47.0,61.68,96.39,-30.03,3.6
eureka,1.0,US,1547312100.0,89.0,40.8,-124.16,53.6,3.36
hirado,56.0,JP,1547314200.0,100.0,33.32,129.49,52.77,18.81
palmer,0.0,AU,1547312400.0,72.0,-34.85,139.16,62.6,17.22
bambous virieux,40.0,MU,1547312400.0,74.0,-20.34,57.76,82.4,11.41
lebu,0.0,ET,1547312400.0,54.0,8.96,38.73,59.0,9.17
panaba,0.0,MX,1547314204.0,49.0,21.28,-88.27,81.84,4.05
kampong chhnang,20.0,KH,1547314026.0,58.0,12.25,104.67,79.05,6.51
keetmanshoop,0.0,NA,1547312400.0,7.0,-26.57,18.15,91.4,6.93
ambilobe,76.0,MG,1547314205.0,97.0,-13.19,49.05,70.5,2.93
petropavl,68.0,KZ,1547314206.0,80.0,54.87,69.13,4.26,11.99
vardo,20.0,US,1547313300.0,42.0,39.62,-77.74,33.8,4.7
avera,90.0,US,1547313300.0,61.0,33.19,-82.53,50.0,9.17
yeppoon,90.0,AU,1547312400.0,78.0,-23.13,150.74,73.4,6.93
hope,1.0,CA,1547312400.0,86.0,49.38,-121.43,37.4,17.22
lexington,90.0,US,1547313300.0,81.0,38.05,-84.5,35.96,10.29
ribeira grande,20.0,PT,1547310600.0,63.0,38.52,-28.7,62.6,21.92
gat,0.0,SN,1547312400.0,16.0,14.69,-16.54,96.8,1.92
acapulco,5.0,MX,1547311500.0,66.0,16.86,-99.88,84.2,2.24
araouane,20.0,ML,1547314210.0,15.0,18.9,-3.53,69.2,9.08
brae,92.0,GB,1547311800.0,93.0,60.4,-1.35,44.6,18.34
bratsk,56.0,RU,1547312400.0,84.0,56.15,101.63,-2.21,4.47
esperance,20.0,TT,1547312400.0,51.0,10.24,-61.45,86.0,12.75
khandyga,20.0,RU,1547314212.0,0.0,62.65,135.58,-39.71,2.37
leningradskiy,8.0,RU,1547314212.0,100.0,69.38,178.42,-18.65,8.52
ahipara,0.0,NZ,1547314212.0,100.0,-35.17,173.16,59.79,4.61
puerto ayora,20.0,EC,1547312400.0,65.0,-0.74,-90.35,82.4,5.82
byron bay,92.0,AU,1547312400.0,100.0,-28.65,153.62,68.0,1.12
muskegon,90.0,US,1547312160.0,60.0,43.23,-86.25,30.02,10.29
ukiah,90.0,US,1547313300.0,96.0,39.15,-123.21,46.04,3.15
aksu,0.0,KZ,1547312400.0,91.0,52.04,76.93,-5.81,6.71
grindavik,75.0,IS,1547312400.0,100.0,63.84,-22.43,33.8,5.82
north myrtle beach,1.0,US,1547312400.0,56.0,33.83,-78.68,48.92,8.05
faanui,80.0,PF,1547314215.0,100.0,-16.48,-151.75,82.34,22.62
madimba,8.0,CM,1547308800.0,79.0,4.42,9.93,86.0,4.7
mapiripan,64.0,CO,1547314215.0,73.0,2.89,-72.13,83.42,5.73
hirara,88.0,JP,1547314216.0,100.0,24.8,125.28,70.82,17.47
goundam,0.0,ML,1547314216.0,22.0,16.42,-3.66,77.12,9.64
lida,88.0,BY,1547314216.0,91.0,53.9,25.3,27.3,10.65
champerico,5.0,MX,1547311860.0,54.0,16.38,-93.6,78.8,2.24
qeshm,56.0,IR,1547312400.0,48.0,26.96,56.27,66.2,4.7
port elizabeth,1.0,US,1547312160.0,31.0,39.31,-74.98,32.0,3.36
saint-georges,56.0,CA,1547314218.0,49.0,46.12,-70.67,5.48,8.63
nanortalik,92.0,GL,1547314218.0,92.0,60.14,-45.24,30.54,15.9
hovd,75.0,NO,1547311800.0,100.0,63.83,10.7,33.8,5.82
russell,0.0,AR,1547312400.0,45.0,-33.01,-68.8,82.4,8.05
vaitape,88.0,PF,1547314219.0,100.0,-16.52,-151.75,80.85,19.6
alyangula,80.0,AU,1547312400.0,88.0,-13.85,136.42,80.6,3.36
east london,75.0,ZA,1547312400.0,68.0,-33.02,27.91,71.6,8.05
kahului,40.0,US,1547312160.0,84.0,20.89,-156.47,69.98,3.94
college,0.0,US,1547312880.0,64.0,64.86,-147.8,-40.01,4.16
souillac,90.0,FR,1547312400.0,93.0,45.6,-0.6,42.8,6.93
longyearbyen,20.0,NO,1547311800.0,50.0,78.22,15.63,8.6,19.46
anqing,24.0,CN,1547314221.0,100.0,30.51,117.04,35.63,4.72
puerto madryn,92.0,AR,1547314065.0,54.0,-42.77,-65.04,71.99,10.31
nishihara,90.0,JP,1547312400.0,80.0,35.74,139.53,44.6,4.7
tolaga bay,56.0,NZ,1547314222.0,80.0,-38.37,178.3,62.4,8.75
katsuura,40.0,JP,1547312400.0,86.0,33.93,134.5,39.2,6.93
mananjary,88.0,MG,1547314222.0,95.0,-19.16,46.8,62.27,1.7
port lincoln,20.0,AU,1547314223.0,98.0,-34.72,135.86,62.9,13.22
banda aceh,8.0,ID,1547314223.0,96.0,5.56,95.32,73.88,3.6
sao gabriel da cachoeira,20.0,BR,1547308800.0,66.0,-0.13,-67.09,86.0,5.82
yairipok,0.0,IN,1547314224.0,85.0,24.67,94.07,45.84,2.15
arraial do cabo,20.0,BR,1547312400.0,70.0,-22.97,-42.02,89.6,16.11
samarai,0.0,PG,1547314224.0,100.0,-10.62,150.67,80.4,10.42
erenhot,0.0,CN,1547314224.0,49.0,43.65,111.97,-4.79,3.94
iqaluit,75.0,CA,1547313000.0,67.0,63.75,-68.52,-23.81,24.16
le vauclin,40.0,MQ,1547312400.0,58.0,14.55,-60.84,84.2,14.99
nanning,90.0,CN,1547312400.0,100.0,22.83,108.3,55.4,4.47
biltine,0.0,TD,1547314019.0,30.0,14.53,20.93,75.59,6.4
bubaque,0.0,GW,1547314226.0,83.0,11.28,-15.83,84.72,6.62
akom,24.0,GH,1547314226.0,58.0,6.86,-1.64,86.16,3.6
luena,76.0,AO,1547314226.0,85.0,-11.78,19.91,69.87,0.92
kaputa,80.0,ZM,1547314165.0,99.0,-8.47,29.66,65.19,2.37
mamallapuram,20.0,IN,1547312400.0,78.0,12.63,80.17,75.2,4.7
lulea,0.0,SE,1547311800.0,58.0,65.58,22.15,24.8,8.05
kalmunai,92.0,LK,1547314227.0,100.0,7.42,81.82,72.75,3.6
aykhal,24.0,RU,1547314227.0,43.0,65.95,111.51,-28.37,4.05
srednekolymsk,88.0,RU,1547314228.0,31.0,67.46,153.71,-21.21,3.04
bilma,20.0,NE,1547314228.0,19.0,18.69,12.92,67.94,9.98
celestun,0.0,MX,1547314228.0,98.0,20.87,-90.4,74.42,4.72
bredasdorp,0.0,ZA,1547312400.0,36.0,-34.53,20.04,75.2,16.11
pangnirtung,75.0,CA,1547312400.0,67.0,66.15,-65.72,-27.41,3.36
villa literno,0.0,IT,1547311800.0,39.0,41.01,14.08,48.2,5.82
rio gallegos,75.0,AR,1547312400.0,37.0,-51.62,-69.22,53.6,35.57
ponta do sol,68.0,BR,1547314230.0,66.0,-20.63,-46.0,83.33,3.83
yellowknife,20.0,CA,1547312400.0,76.0,62.45,-114.38,-7.61,11.41
beloha,80.0,MG,1547314230.0,95.0,-25.17,45.06,74.69,3.04
boa esperanca do sul,8.0,BR,1547314056.0,58.0,-21.99,-48.39,91.88,4.16
khatanga,48.0,RU,1547314231.0,46.0,71.98,102.47,-28.64,13.44
marawi,36.0,PH,1547314046.0,99.0,8.0,124.29,66.23,2.15
fortuna,0.0,ES,1547312400.0,34.0,38.18,-1.13,53.6,2.59
chippewa falls,90.0,US,1547313300.0,70.0,44.94,-91.39,28.76,10.29
vila franca do campo,75.0,PT,1547310600.0,82.0,37.72,-25.43,60.8,17.22
rawson,76.0,AR,1547314318.0,28.0,-43.3,-65.11,79.59,12.88
shangzhi,8.0,CN,1547314233.0,53.0,45.21,127.96,3.81,3.6
seoul,0.0,KR,1547312400.0,73.0,37.57,126.98,28.4,5.82
zhob,0.0,PK,1547314233.0,44.0,31.34,69.45,19.56,3.38
redmond,1.0,US,1547312880.0,89.0,47.67,-122.12,39.92,3.27
bouna,20.0,CI,1547314234.0,26.0,9.27,-3.0,87.2,5.17
sirpur,0.0,IN,1547314234.0,81.0,18.94,78.68,66.5,7.96
labytnangi,68.0,RU,1547314234.0,64.0,66.66,66.39,0.12,11.32
codrington,40.0,AU,1547312400.0,93.0,-28.95,153.24,66.2,2.37
sinazongwe,48.0,ZM,1547314235.0,67.0,-17.26,27.46,84.45,4.83
vao,0.0,EE,1547314235.0,89.0,59.1,26.19,23.57,7.18
husavik,68.0,CA,1547314235.0,89.0,50.56,-96.99,15.87,6.62
airai,20.0,TL,1547314236.0,87.0,-8.93,125.41,68.3,1.92
meulaboh,24.0,ID,1547314236.0,100.0,4.14,96.13,78.02,2.48
venice,40.0,US,1547313300.0,53.0,27.1,-82.45,77.0,13.87
whyalla,0.0,AU,1547312400.0,68.0,-33.04,137.58,68.0,14.99
great yarmouth,75.0,GB,1547311800.0,81.0,52.61,1.73,48.2,18.34
batang berjuntai,75.0,MY,1547312400.0,78.0,3.38,101.42,82.4,2.24
hofn,92.0,IS,1547314238.0,100.0,64.25,-15.21,35.31,10.76
saint george,75.0,GR,1547313600.0,78.0,39.45,22.34,37.4,6.93
hailun,76.0,CN,1547314239.0,65.0,47.46,126.97,10.88,3.83
gizo,0.0,IL,1547311800.0,71.0,31.8,34.94,57.2,1.12
geraldton,5.0,CA,1547312400.0,64.0,49.72,-86.95,-4.01,3.38
mount isa,0.0,AU,1547312400.0,25.0,-20.73,139.49,89.6,11.41
chicama,20.0,PE,1547312400.0,78.0,-7.84,-79.15,77.0,16.11
vanimo,64.0,PG,1547314240.0,100.0,-2.67,141.3,80.04,13.78
ixtapa,5.0,MX,1547311740.0,69.0,20.71,-105.21,78.8,1.48
zhanaozen,0.0,KZ,1547314241.0,69.0,43.35,52.85,38.64,13.22
velikiy ustyug,88.0,RU,1547314241.0,82.0,60.76,46.3,15.74,10.87
hailey,5.0,US,1547311980.0,62.0,43.52,-114.32,19.4,10.29
monywa,0.0,MM,1547314241.0,90.0,22.12,95.13,61.86,6.85
coffs harbour,0.0,AU,1547312400.0,88.0,-30.3,153.13,68.0,6.93
brazzaville,20.0,CD,1547308800.0,66.0,-4.27,15.27,86.0,9.17
soure,0.0,PT,1547308800.0,50.0,40.06,-8.63,57.2,5.82
aiken,90.0,US,1547313300.0,60.0,33.56,-81.72,48.92,10.29
aklavik,90.0,CA,1547312400.0,68.0,68.22,-135.01,-20.21,12.75
ohafia,12.0,NG,1547314243.0,41.0,5.62,7.83,87.83,3.6
alofi,0.0,NU,1547312400.0,94.0,-19.06,-169.92,71.6,5.82
eyl,12.0,SO,1547314244.0,93.0,7.98,49.82,74.46,18.37
los llanos de aridane,75.0,ES,1547312400.0,68.0,28.66,-17.92,66.2,5.82
feijo,75.0,EC,1547312400.0,58.0,-3.63,-79.92,89.6,3.71
along,0.0,IN,1547314244.0,49.0,28.17,94.8,48.36,2.59
yulara,0.0,AU,1547312400.0,20.0,-25.24,130.99,87.8,6.93
anzio,0.0,IT,1547311800.0,60.0,41.45,12.63,48.2,4.7
vostok,0.0,RU,1547314245.0,39.0,46.45,135.83,-13.11,2.04
saint-augustin,75.0,FR,1547312400.0,87.0,44.83,-0.61,46.4,5.82
mareeba,75.0,AU,1547312400.0,78.0,-16.99,145.42,77.0,11.41
thinadhoo,68.0,MV,1547314117.0,100.0,0.53,72.93,82.88,7.63
chiredzi,56.0,ZW,1547314248.0,90.0,-21.05,31.67,74.82,2.59
malpura,0.0,IN,1547314248.0,82.0,26.29,75.37,52.86,4.16
golubitskaya,75.0,RU,1547312400.0,93.0,45.32,37.28,37.4,4.47
bethel,90.0,US,1547312160.0,76.0,60.79,-161.76,-14.98,21.92
mubende,8.0,UG,1547314249.0,34.0,0.56,31.4,71.9,7.74
california city,90.0,US,1547313180.0,87.0,35.13,-117.99,46.4,5.82
kushima,0.0,JP,1547314249.0,100.0,31.5,131.29,44.72,6.06
puerto escondido,5.0,MX,1547311500.0,69.0,15.86,-97.07,82.4,9.17
port moresby,40.0,PG,1547308800.0,100.0,-9.47,147.16,77.0,5.82
daultala,75.0,PK,1547312400.0,87.0,33.19,73.14,48.2,20.8
touros,40.0,BR,1547312400.0,55.0,-5.2,-35.46,91.4,18.34
puntarenas,0.0,CR,1547312400.0,47.0,9.98,-84.84,80.6,13.87
itarema,44.0,BR,1547314251.0,91.0,-2.92,-39.92,80.63,5.17
tianpeng,76.0,CN,1547314251.0,100.0,28.88,112.34,40.13,5.95
chalons-en-champagne,90.0,FR,1547312400.0,100.0,48.95,4.37,44.6,19.46
ilanskiy,64.0,RU,1547314252.0,68.0,56.24,96.06,-1.41,11.43
tres picos,0.0,MX,1547314252.0,50.0,16.23,-93.58,82.25,3.04
