City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
hanchuan,20.0,CN,1547312400.0,93.0,30.65,113.83,37.4,4.47
margherita di savoia,0.0,IT,1547313600.0,49.0,41.37,16.15,46.4,14.99
chulym,80.0,RU,1547314253.0,74.0,55.09,80.97,-2.63,6.17
liverpool,75.0,GB,1547311800.0,81.0,53.41,-2.98,51.8,25.28
salamiyah,0.0,SY,1547314253.0,70.0,35.01,37.05,31.62,3.71
kailua,90.0,US,1547312220.0,96.0,21.39,-157.74,69.08,2.37
bar,76.0,UA,1547314253.0,89.0,49.07,27.67,26.9,13.0
sechura,0.0,PE,1547314254.0,61.0,-5.56,-80.82,83.24,14.0
nemuro,12.0,JP,1547314254.0,100.0,43.32,145.57,27.3,22.5
blackfoot,90.0,US,1547311980.0,91.0,43.19,-112.35,23.0,9.17
laguna,5.0,MX,1547311260.0,77.0,27.52,-110.01,66.2,3.36
kavieng,64.0,PG,1547314255.0,100.0,-2.57,150.8,82.02,11.65
olinda,40.0,EC,1547312400.0,62.0,-2.03,-79.75,84.2,5.82
tautira,75.0,PF,1547312400.0,83.0,-17.73,-149.15,80.6,12.75
ordino,0.0,FR,1547308800.0,45.0,42.56,1.53,46.4,8.05
abadan,75.0,IR,1547312400.0,83.0,30.36,48.26,53.6,4.7
kouango,8.0,CF,1547314257.0,77.0,4.99,19.98,78.65,2.71
half moon bay,75.0,US,1547312160.0,100.0,37.46,-122.43,53.96,6.51
wanning,75.0,AT,1547311800.0,96.0,48.64,13.53,39.2,18.34
nantucket,1.0,US,1547312160.0,36.0,41.28,-70.1,26.96,16.11
pitimbu,40.0,BR,1547312400.0,83.0,-7.47,-34.81,78.8,16.11
puerto baquerizo moreno,75.0,EC,1547312400.0,74.0,-0.9,-89.6,82.4,9.17
lagoa,0.0,PT,1547310600.0,47.0,37.14,-8.45,59.0,10.29
cacu,8.0,BR,1547314259.0,62.0,-18.56,-51.13,89.54,4.72
caborca,56.0,MX,1547314259.0,50.0,30.58,-111.1,59.75,5.17
quatre cocos,40.0,MU,1547312400.0,74.0,-20.21,57.76,82.4,11.41
sitka,76.0,US,1547314260.0,89.0,37.17,-99.65,34.95,18.03
nuevo san juan parangaricutiro,5.0,MX,1547311260.0,56.0,19.42,-102.13,69.8,3.38
san luis,24.0,AR,1547314128.0,49.0,-33.3,-66.34,85.94,5.17
kavaratti,0.0,IN,1547314152.0,100.0,10.57,72.64,81.84,4.94
beinamar,0.0,TD,1547314261.0,37.0,8.67,15.38,78.69,6.4
boke,12.0,GN,1547314261.0,45.0,10.95,-14.28,87.96,6.51
benjamin constant,75.0,BR,1547312400.0,78.0,-4.38,-70.03,80.6,4.7
arica,0.0,CL,1547312400.0,53.0,-18.48,-70.32,78.8,14.99
maku,0.0,IR,1547311920.0,68.0,39.29,44.45,24.8,2.48
abay,20.0,KZ,1547312400.0,84.0,49.63,72.87,8.6,2.24
kaabong,0.0,UG,1547314262.0,26.0,3.51,34.14,71.04,8.52
isangel,12.0,VU,1547314263.0,100.0,-19.55,169.27,76.89,4.83
miles city,1.0,US,1547311980.0,88.0,46.41,-105.84,21.92,5.82
san alberto,75.0,PY,1547312400.0,66.0,-24.98,-54.91,87.8,4.7
san quintin,0.0,PH,1547314264.0,81.0,17.54,120.52,63.89,2.59
weihe,32.0,CN,1547314264.0,72.0,32.99,105.33,21.23,3.38
riosucio,40.0,CO,1547312400.0,65.0,5.42,-75.7,78.8,2.24
kumluca,56.0,TR,1547314265.0,94.0,36.37,30.29,29.01,0.69
peniche,0.0,PT,1547310600.0,50.0,39.36,-9.38,57.2,6.93
vestmannaeyjar,90.0,IS,1547312400.0,100.0,63.44,-20.27,37.4,6.93
comodoro rivadavia,40.0,AR,1547312400.0,22.0,-45.87,-67.48,69.8,11.41
santiago del estero,8.0,AR,1547314259.0,77.0,-27.8,-64.26,83.55,5.84
baker city,1.0,US,1547311980.0,72.0,44.77,-117.83,35.06,12.75
wattegama,76.0,LK,1547314266.0,94.0,7.35,80.68,69.15,2.71
hailar,56.0,CN,1547314266.0,61.0,49.2,119.7,-3.98,6.17
lubango,0.0,AO,1547314267.0,34.0,-14.92,13.49,77.7,3.71
nikolskoye,0.0,RU,1547312400.0,92.0,59.7,30.79,21.2,8.95
teguldet,24.0,RU,1547314267.0,39.0,57.31,88.17,-12.03,3.83
zambezi,80.0,ZM,1547314267.0,69.0,-13.55,23.12,78.2,4.83
yumen,8.0,CN,1547314268.0,52.0,40.29,97.04,-3.21,2.71
zaysan,44.0,KZ,1547314268.0,79.0,47.47,84.87,10.34,2.26
santa isabel,75.0,CO,1547312400.0,61.0,4.71,-75.1,80.6,9.17
vila,0.0,IT,1547313600.0,40.0,45.18,8.4,42.8,2.24
kulu,8.0,CD,1547314269.0,48.0,3.47,23.69,84.09,2.59
santa rosa,24.0,AR,1547314272.0,79.0,-36.62,-64.29,83.46,5.73
walvis bay,0.0,NA,1547312400.0,56.0,-22.95,14.51,73.4,16.11
vestmanna,92.0,FO,1547311800.0,87.0,62.16,-7.17,42.8,23.04
adrar,0.0,DZ,1547312400.0,28.0,27.87,-0.29,57.2,14.99
odessa,0.0,US,1547313300.0,59.0,31.85,-102.37,49.28,18.34
paita,0.0,PE,1547312400.0,290.0,-5.09,-81.11,62.6,12.75
te anau,80.0,NZ,1547314274.0,60.0,-45.41,167.72,47.37,6.96
kursenai,0.0,LT,1547311800.0,92.0,55.98,22.92,30.2,10.29
yanam,8.0,IN,1547308800.0,78.0,16.73,82.22,71.6,5.82
tiksi,44.0,RU,1547314274.0,38.0,71.64,128.87,-25.13,11.1
zyryanovsk,68.0,KZ,1547314275.0,79.0,49.74,84.27,9.21,2.15
superior,90.0,US,1547313300.0,85.0,39.95,-105.17,37.22,3.36
dingle,68.0,PH,1547314216.0,94.0,11.0,122.67,74.69,10.54
boa vista,75.0,BR,1547312400.0,38.0,2.82,-60.67,91.4,13.87
almaznyy,40.0,RU,1547312400.0,86.0,48.03,40.04,26.6,13.42
machilipatnam,40.0,IN,1547312400.0,88.0,16.18,81.14,71.6,6.06
berlevag,80.0,NO,1547314277.0,100.0,70.86,29.09,26.31,2.71
maceio,40.0,BR,1547312400.0,51.0,-9.67,-35.74,86.0,20.8
grand-santi,36.0,GF,1547314277.0,55.0,4.27,-54.38,87.83,2.82
longhua,20.0,CN,1547314277.0,89.0,29.21,106.21,36.08,2.71
glenwood springs,20.0,US,1547312460.0,100.0,39.55,-107.33,30.92,4.7
batsfjord,80.0,NO,1547314278.0,100.0,70.63,29.72,36.53,9.86
hualmay,0.0,PE,1547314278.0,59.0,-11.1,-77.61,79.1,8.63
ikwiriri,12.0,TZ,1547314279.0,68.0,-7.96,38.99,81.75,7.18
komsomolskiy,64.0,RU,1547314279.0,78.0,67.55,63.78,4.04,17.81
vila do maio,0.0,CV,1547312400.0,32.0,15.13,-23.22,82.4,8.05
nara,75.0,JP,1547312400.0,87.0,34.68,135.8,42.8,5.82
pangkalanbuun,68.0,ID,1547314280.0,97.0,-2.68,111.62,75.14,2.71
williams lake,90.0,CA,1547312400.0,69.0,52.13,-122.14,35.6,16.11
conceicao da barra,8.0,BR,1547314280.0,83.0,-18.59,-39.73,82.29,10.65
englewood,90.0,US,1547313300.0,96.0,39.65,-104.99,37.22,3.04
port hardy,75.0,CA,1547312400.0,76.0,50.7,-127.42,48.2,20.8
kenai,40.0,US,1547312160.0,71.0,60.55,-151.26,3.02,10.29
northam,75.0,GB,1547311800.0,81.0,51.04,-4.21,51.8,17.22
havre-saint-pierre,90.0,CA,1547312400.0,79.0,50.23,-63.6,24.8,5.82
kharagauli,40.0,GE,1547312400.0,70.0,42.01,43.2,42.8,6.93
ozernovskiy,76.0,RU,1547314282.0,87.0,51.5,156.52,28.34,8.86
spring hill,75.0,US,1547314500.0,48.0,28.46,-82.54,77.0,8.05
omboue,64.0,GA,1547314283.0,100.0,-1.57,9.26,79.14,6.96
port blair,88.0,IN,1547314283.0,97.0,11.67,92.75,83.42,11.32
klamath falls,1.0,US,1547311980.0,88.0,42.22,-121.78,30.92,4.7
kamenka,56.0,RU,1547314283.0,80.0,53.19,44.05,9.84,11.21
jambi,48.0,ID,1547314127.0,88.0,-1.6,103.62,77.25,3.04
valparaiso,90.0,US,1547313300.0,86.0,41.47,-87.06,30.2,6.93
taree,0.0,AU,1547312760.0,88.0,-31.91,152.46,66.2,2.04
puerto el triunfo,0.0,SV,1547311800.0,66.0,13.27,-88.55,89.6,8.05
san cristobal,75.0,EC,1547312400.0,46.0,-0.39,-78.55,69.8,6.93
ostrovnoy,88.0,RU,1547314286.0,93.0,68.05,39.51,19.47,4.83
beaverlodge,75.0,CA,1547312400.0,92.0,55.21,-119.43,19.4,2.82
bongor,8.0,TD,1547314286.0,28.0,10.28,15.37,79.41,7.63
beringovskiy,32.0,RU,1547314289.0,85.0,63.05,179.32,-5.69,23.96
shieli,32.0,KZ,1547314289.0,52.0,44.18,66.74,8.22,5.17
dolzhanskaya,0.0,RU,1547314290.0,95.0,46.63,37.8,25.41,9.98
acajutla,0.0,SV,1547311800.0,45.0,13.59,-89.83,82.4,4.7
necochea,0.0,AR,1547314292.0,67.0,-38.55,-58.74,81.89,12.77
esna,24.0,RO,1547314293.0,95.0,45.2,27.57,20.46,8.19
nome,90.0,US,1547313300.0,68.0,30.04,-94.42,66.92,13.87
daru,32.0,SL,1547314294.0,31.0,7.99,-10.85,93.14,3.38
kloulklubed,75.0,PW,1547311800.0,94.0,7.04,134.26,77.0,8.05
padang,20.0,ID,1547312400.0,94.0,-0.92,100.36,77.0,3.36
batagay-alyta,24.0,RU,1547314295.0,50.0,67.8,130.41,-31.83,3.71
honolulu,75.0,US,1547312220.0,83.0,21.3,-157.86,69.08,4.7
kupang,64.0,ID,1547314296.0,98.0,-10.16,123.6,80.49,4.94
nanakuli,1.0,US,1547312220.0,98.0,21.39,-158.15,69.08,4.7
dali,0.0,CN,1547314296.0,100.0,25.6,100.24,32.52,1.81
kabugao,32.0,PH,1547314297.0,94.0,18.02,121.18,61.77,1.03
svobodnyy,76.0,RU,1547314297.0,80.0,53.85,40.53,9.84,11.99
malpe,8.0,IN,1547312400.0,69.0,13.35,74.72,78.8,4.7
coquimbo,0.0,CL,1547312400.0,60.0,-29.95,-71.34,68.0,16.11
palu,68.0,ID,1547314298.0,95.0,-0.9,119.87,66.68,1.59
worthington,90.0,US,1547313360.0,95.0,43.62,-95.6,28.04,10.29
ushtobe,0.0,KZ,1547314298.0,55.0,45.25,77.98,5.79,2.59
fort nelson,40.0,CA,1547312400.0,76.0,58.81,-122.69,-9.41,2.24
umm lajj,32.0,SA,1547314299.0,99.0,25.02,37.27,70.73,6.51
iturama,0.0,BR,1547314299.0,78.0,-19.73,-50.2,88.19,4.16
yarmouth,20.0,GB,1547311800.0,81.0,50.71,-1.5,48.2,13.87
porgera,68.0,PG,1547314300.0,98.0,-5.46,143.15,53.18,2.26
springfield,90.0,US,1547312100.0,89.0,37.22,-93.29,35.96,11.41
tazovskiy,76.0,RU,1547314300.0,43.0,67.47,78.7,-14.01,21.83
saint-pierre,90.0,FR,1547312400.0,100.0,48.95,4.24,44.6,19.46
arbazh,68.0,RU,1547314301.0,87.0,57.68,48.31,13.13,9.08
bereda,90.0,ES,1547312400.0,71.0,43.27,-7.54,50.0,11.41
cardston,75.0,CA,1547312400.0,30.0,49.2,-113.32,42.8,24.16
nelson bay,0.0,AU,1547312400.0,93.0,-32.72,152.14,64.4,3.36
maniitsoq,32.0,GL,1547314302.0,100.0,65.42,-52.9,7.59,6.4
petropavlovsk-kamchatskiy,88.0,RU,1547312400.0,88.0,53.05,158.65,32.0,15.66
bourail,100.0,NC,1547314303.0,100.0,-21.57,165.5,71.45,1.7
port hedland,75.0,AU,1547312400.0,94.0,-20.31,118.58,80.6,5.82
acuitzio,24.0,MX,1547314303.0,62.0,20.34,-101.98,66.45,3.27
tura,0.0,IN,1547314304.0,80.0,25.52,90.21,51.6,2.37
oranjestad,40.0,AW,1547312400.0,62.0,12.52,-70.03,84.2,19.46
mizan teferi,0.0,ET,1547314304.0,51.0,6.99,35.58,64.47,1.92
kamaishi,92.0,JP,1547314304.0,93.0,39.28,141.86,26.49,3.94
lasa,20.0,CY,1547312400.0,66.0,34.92,32.53,55.4,9.17
road town,40.0,VG,1547312400.0,94.0,18.42,-64.62,80.96,1.12
salalah,0.0,OM,1547311800.0,24.0,17.01,54.1,78.8,6.93
pemex,0.0,MX,1547314306.0,78.0,18.44,-96.35,75.95,3.83
kati,0.0,ML,1547312400.0,8.0,12.75,-8.07,93.2,8.05
fez,0.0,MA,1547312400.0,53.0,34.03,-5.02,57.2,9.17
karratha,0.0,AU,1547314307.0,60.0,-20.74,116.85,74.82,2.71
saint-michel-des-saints,44.0,CA,1547314307.0,51.0,46.68,-73.92,4.35,7.07
hokitika,12.0,NZ,1547314307.0,100.0,-42.72,170.96,55.25,2.71
lompoc,40.0,US,1547313300.0,82.0,34.64,-120.46,55.94,5.82
chibuto,20.0,MZ,1547314308.0,74.0,-24.69,33.53,82.79,16.35
kalnciems,0.0,LV,1547311800.0,100.0,56.8,23.61,30.2,5.82
alugan,88.0,PH,1547314308.0,97.0,12.22,125.48,77.79,12.33
tual,56.0,ID,1547314308.0,100.0,-5.67,132.75,82.11,11.21
san patricio,68.0,PY,1547314309.0,100.0,-26.98,-56.83,73.65,4.38
ilulissat,75.0,GL,1547311800.0,47.0,69.22,-51.1,-9.41,9.17
sabang,92.0,PH,1547314309.0,98.0,13.72,123.58,76.8,10.98
ternate,75.0,PH,1547312400.0,74.0,14.29,120.72,80.6,4.7
pacific grove,90.0,US,1547312400.0,86.0,36.62,-121.92,53.6,6.93
fairbanks,0.0,US,1547312880.0,64.0,64.84,-147.72,-41.98,4.16
kyabe,0.0,TD,1547314310.0,23.0,9.45,18.94,80.76,6.17
klaksvik,92.0,FO,1547311800.0,87.0,62.23,-6.59,42.8,23.04
ust-kut,56.0,RU,1547314310.0,68.0,56.78,105.75,-6.05,2.48
noumea,0.0,NC,1547312400.0,88.0,-22.28,166.46,75.2,6.93
saqqez,20.0,IR,1547314311.0,57.0,36.24,46.27,21.32,4.38
vanderhoof,92.0,CA,1547314311.0,91.0,54.02,-124.02,32.07,2.37
sobolevo,88.0,RU,1547314205.0,92.0,54.43,31.9,25.95,12.44
yekaterinogradskaya,75.0,RU,1547312400.0,74.0,43.76,44.23,37.4,2.24
esso,56.0,RU,1547314312.0,91.0,55.93,158.7,12.45,1.81
botad,0.0,IN,1547314312.0,65.0,22.17,71.67,58.71,3.94
tromso,75.0,NO,1547311800.0,92.0,69.65,18.96,28.4,13.87
loudeac,90.0,FR,1547312400.0,93.0,48.18,-2.75,50.0,13.87
morros,75.0,BR,1547312400.0,66.0,-2.87,-44.04,86.0,2.24
usinsk,80.0,RU,1547314313.0,82.0,66.0,57.56,17.4,16.24
nurota,0.0,UZ,1547312400.0,88.0,40.56,65.69,33.8,9.17
san francisco,40.0,US,1547312280.0,85.0,37.78,-122.42,53.96,3.71
dunedin,56.0,NZ,1547314212.0,96.0,-45.87,170.5,44.0,3.49
beira,90.0,ES,1547312400.0,71.0,43.2,-8.36,50.0,11.41
tiarei,75.0,PF,1547312400.0,83.0,-17.53,-149.33,80.6,12.75
mitsamiouli,20.0,KM,1547312400.0,83.0,-11.38,43.28,80.6,8.05
udachnyy,32.0,RU,1547314315.0,47.0,66.42,112.4,-29.81,2.93
moncada,40.0,PH,1547312400.0,78.0,15.73,120.57,75.2,4.7
blackwater,40.0,GB,1547311800.0,76.0,51.33,-0.78,48.2,8.05
krasnyy chikoy,0.0,RU,1547314316.0,46.0,50.36,108.75,-17.66,2.26
porirua,20.0,NZ,1547312400.0,87.0,-41.14,174.84,60.8,10.29
sabha,0.0,LY,1547314317.0,44.0,27.03,14.43,44.85,9.19
gloucester,20.0,GB,1547312160.0,81.0,51.87,-2.25,48.2,5.82
bonthe,8.0,SL,1547314317.0,61.0,7.53,-12.5,86.52,6.4
kropotkin,88.0,RU,1547314317.0,94.0,45.43,40.58,30.99,3.15
filadelfia,20.0,PY,1547314319.0,79.0,-22.35,-60.04,88.64,6.62
agirish,64.0,RU,1547314319.0,83.0,61.92,63.02,7.32,8.08
erzin,40.0,TR,1547311800.0,70.0,36.95,36.2,48.2,11.41
atambua,0.0,ID,1547314320.0,100.0,-9.11,124.89,79.32,4.38
awjilah,48.0,LY,1547314320.0,58.0,29.14,21.3,55.92,19.82
pemberton,36.0,AU,1547314320.0,80.0,-34.44,116.03,62.31,10.76
paamiut,88.0,GL,1547314102.0,91.0,61.99,-49.67,33.83,22.84
tefe,75.0,BR,1547312400.0,70.0,-3.35,-64.71,86.0,5.82
turukhansk,0.0,RU,1547314321.0,0.0,65.8,87.96,-35.88,11.54
birao,0.0,CF,1547314321.0,28.0,10.3,22.78,78.38,7.63
stubbekobing,92.0,DK,1547314322.0,92.0,54.89,12.04,41.57,23.51
kibala,0.0,TD,1547312400.0,15.0,9.11,18.35,95.0,6.85
oranjemund,20.0,ZA,1547314322.0,92.0,-28.55,16.43,65.37,3.38
copiapo,0.0,CL,1547312400.0,46.0,-27.37,-70.33,73.4,11.41
taoudenni,0.0,ML,1547314323.0,20.0,22.68,-3.98,64.56,11.88
bocas del toro,64.0,PA,1547314323.0,100.0,9.33,-82.25,75.99,4.94
yar-sale,88.0,RU,1547314323.0,85.0,66.83,70.83,2.69,21.27
imeni poliny osipenko,8.0,RU,1547314324.0,41.0,52.42,136.49,-26.3,2.15
russellville,90.0,US,1547312100.0,96.0,35.28,-93.13,41.0,6.93
henties bay,0.0,NA,1547314324.0,88.0,-22.12,14.28,65.42,10.65
el dorado,48.0,VE,1547314325.0,70.0,6.71,-61.64,80.31,3.49
ketchikan,90.0,US,1547312160.0,100.0,55.34,-131.65,39.92,7.52
porbandar,0.0,IN,1547314326.0,83.0,21.64,69.61,68.39,11.1
ebolowa,56.0,CM,1547314326.0,73.0,2.92,11.15,76.94,3.71
esfarayen,0.0,IR,1547312400.0,48.0,37.08,57.51,39.2,4.7
sorland,64.0,NO,1547314328.0,100.0,67.67,12.69,35.63,12.66
san carlos de bariloche,90.0,AR,1547312400.0,54.0,-41.13,-71.31,59.0,25.28
lata,92.0,IN,1547314329.0,100.0,30.78,78.62,32.75,1.48
linxia,0.0,CN,1547314329.0,56.0,35.6,103.21,-0.2,1.36
mwinilunga,80.0,ZM,1547314330.0,97.0,-11.73,24.43,64.43,2.48
hoi an,40.0,VN,1547312400.0,94.0,15.88,108.33,73.4,2.24
sala consilina,44.0,IT,1547314330.0,93.0,40.4,15.6,33.87,4.94
auki,0.0,NG,1547314330.0,24.0,12.18,6.51,79.55,6.17
zhangye,0.0,CN,1547314330.0,63.0,38.94,100.46,4.8,7.4
mitu,20.0,IR,1547314331.0,57.0,36.2,46.09,21.32,4.38
presidencia roque saenz pena,48.0,AR,1547314331.0,96.0,-26.79,-60.44,82.88,8.97
sinnamary,76.0,GF,1547314331.0,92.0,5.38,-52.96,79.86,10.2
sept-iles,75.0,CA,1547312400.0,62.0,50.2,-66.38,24.8,8.05
yamada,20.0,JP,1547312400.0,100.0,36.58,137.08,32.0,2.24
muisne,75.0,EC,1547312400.0,83.0,0.61,-80.02,80.6,4.7
skjervoy,56.0,NO,1547314320.0,100.0,70.03,20.97,33.65,15.12
riyadh,0.0,SA,1547312400.0,25.0,24.63,46.72,60.8,4.7
urucara,48.0,BR,1547314332.0,60.0,-2.54,-57.76,88.32,3.38
maragogi,80.0,BR,1547314332.0,95.0,-9.01,-35.22,77.84,10.2
magadan,8.0,RU,1547314333.0,100.0,59.56,150.8,9.08,11.21
saurimo,75.0,AO,1547308800.0,65.0,-9.66,20.4,80.6,5.82
faya,0.0,SA,1547312400.0,87.0,18.39,42.45,62.6,5.82
vilyuysk,32.0,RU,1547314334.0,44.0,63.75,121.63,-14.46,6.4
bibiani,44.0,GH,1547314334.0,52.0,6.45,-2.31,87.65,4.38
suntar,36.0,RU,1547314334.0,73.0,62.16,117.65,-10.82,5.5
sri aman,80.0,MY,1547312400.0,100.0,1.24,111.46,75.2,0.36
yerbogachen,24.0,RU,1547314327.0,40.0,61.28,108.01,-13.11,3.6
bodden town,75.0,KY,1547312400.0,94.0,19.28,-81.25,78.8,9.17
verkhnetulomskiy,75.0,RU,1547312400.0,92.0,68.61,31.8,24.8,4.83
dhidhdhoo,32.0,MV,1547314196.0,100.0,6.88,73.1,82.43,8.63
general roca,0.0,AR,1547312400.0,21.0,-39.03,-67.58,78.8,6.93
nova olimpia,0.0,BR,1547314336.0,87.0,-14.8,-57.29,87.87,4.5
halifax,75.0,CA,1547312400.0,66.0,44.65,-63.58,14.0,14.99
haines junction,20.0,CA,1547314336.0,30.0,60.75,-137.51,-23.01,1.7
malanje,76.0,AO,1547314336.0,78.0,-9.54,16.35,71.4,6.29
pouebo,64.0,NC,1547314337.0,99.0,-20.4,164.57,74.46,3.27
vadso,90.0,NO,1547311800.0,100.0,70.07,29.75,30.2,21.92
kaeo,0.0,NZ,1547314337.0,86.0,-35.1,173.78,53.85,2.48
la palma,32.0,CO,1547314338.0,59.0,5.36,-74.39,78.74,2.59
donzdorf,75.0,DE,1547313600.0,94.0,48.69,9.81,37.4,12.75
hoima,0.0,UG,1547314338.0,50.0,1.43,31.35,69.06,5.06
port-gentil,75.0,GA,1547312400.0,88.0,-0.72,8.78,80.6,13.87
jumla,88.0,NP,1547314300.0,97.0,29.28,82.18,21.23,1.7
grand gaube,40.0,MU,1547312400.0,74.0,-20.01,57.66,82.4,11.41
puerto carreno,20.0,CO,1547312400.0,46.0,6.19,-67.49,93.2,5.82
viedma,64.0,AR,1547314312.0,32.0,-40.81,-62.99,81.12,5.73
sao filipe,0.0,CV,1547314314.0,88.0,14.9,-24.5,74.64,8.63
